snapped_at,price,market_cap,total_volume
2022-09-29 00:00:00 UTC,0.018265981316598293,455946.71648224327,43557.661824943745
2022-09-30 00:00:00 UTC,0.01820302887164418,455462.906913751,45055.46355102542
2022-10-01 00:00:00 UTC,0.018276277501158036,456503.59641982376,44577.70500562956
2022-10-02 00:00:00 UTC,0.01823407347146483,455851.8367866207,44006.592472165525
2022-10-03 00:00:00 UTC,0.01810035582120024,449532.3721686535,44451.10723068504
2022-10-04 00:00:00 UTC,0.017956192581177043,448974.8716057365,45062.62747121835
2022-10-05 00:00:00 UTC,0.018067485332987823,453204.3928947705,45046.68553653055
2022-10-06 00:00:00 UTC,0.018088812948403903,452888.553355284,45935.79884114083
2022-10-07 00:00:00 UTC,0.017982406198230997,448530.216642998,45910.143986049436
2022-10-08 00:00:00 UTC,0.01793526811856697,448445.50325666374,45353.701643217515
2022-10-09 00:00:00 UTC,0.018057930901988185,452704.622462378,44112.72621426733
2022-10-10 00:00:00 UTC,0.01830467941491523,457477.768727552,47328.87197007546
2022-10-11 00:00:00 UTC,0.018139288771440068,451073.79334694124,46498.379811730876
2022-10-12 00:00:00 UTC,0.018185796887389367,454923.4034490945,44417.39040529131
2022-10-13 00:00:00 UTC,0.018075790090333395,451074.016557878,46171.243688799856
2022-10-14 00:00:00 UTC,0.017224428001698412,431852.057872212,46695.083197091066
2022-10-15 00:00:00 UTC,0.017571614016169853,439290.35040424624,47660.92956840682
2022-10-16 00:00:00 UTC,0.01762463335134357,441609.681904527,47134.90895712249
2022-10-17 00:00:00 UTC,0.017580890780846216,439310.5542385565,48695.28132170638
2022-10-18 00:00:00 UTC,0.017616593456243886,440881.49274975824,47076.38417621718
2022-10-19 00:00:00 UTC,0.017619898271341194,442327.14912962425,45641.73872696521
2022-10-20 00:00:00 UTC,0.01788725553887083,447237.674693889,44133.27925282262
2022-10-21 00:00:00 UTC,0.01773097204434758,443929.647363505,44131.07732644984
2022-10-22 00:00:00 UTC,0.017848904712004236,445889.96693838126,45663.2456006241
2022-10-23 00:00:00 UTC,0.018102448149791485,452314.22839423723,49356.43349509538
2022-10-24 00:00:00 UTC,0.017740938491216846,446704.14406021,41830.5605262081
2022-10-25 00:00:00 UTC,0.018031072818597834,452535.83167480974,44170.845301228845
2022-10-26 00:00:00 UTC,0.019089610842622735,476418.7064909265,52194.737560146066
2022-10-27 00:00:00 UTC,0.019031762264686176,474372.5001979395,48865.93375904597
2022-10-28 00:00:00 UTC,0.01891782565194893,475558.073317734,45415.778110900326
2022-10-29 00:00:00 UTC,0.018653938459199135,464658.14132624125,44494.81036614314
2022-10-30 00:00:00 UTC,0.019510481428634624,488148.695240185,47544.95562006972
2022-10-31 00:00:00 UTC,0.019603712086153097,488940.1927248865,45281.00704341397
2022-11-01 00:00:00 UTC,0.019729070455639725,492741.405745354,47571.95788500675
2022-11-02 00:00:00 UTC,0.01935692403591959,482851.01757966325,43382.5252231386
2022-11-03 00:00:00 UTC,0.01971654252415814,491072.7130838475,47516.906916306165
2022-11-04 00:00:00 UTC,0.019424814129078417,486931.5506148935,46396.84841579832
2022-11-05 00:00:00 UTC,0.019675260866843278,492182.858239881,44208.6781211449
2022-11-06 00:00:00 UTC,0.019765605975794243,495595.44628474023,48619.95148501405
2022-11-07 00:00:00 UTC,0.019715513711152478,492342.1571610735,46124.2274565904
2022-11-08 00:00:00 UTC,0.019649322516630565,490732.67648121173,45084.839982700876
2022-11-09 00:00:00 UTC,0.017708300111864014,441971.9001766775,42280.85623848404
2022-11-10 00:00:00 UTC,0.01599294600173488,398938.83835375524,47369.47987255259
2022-11-11 00:00:00 UTC,0.01719243299882916,432129.7559839775,51193.890548180585
2022-11-12 00:00:00 UTC,0.017239516963472187,429458.9198447545,49386.95793965784
